Year,mean_extent
1978,11.904954166666668
1979,12.349634226190474
1980,12.349545238095237
1981,12.147229563492063
1982,12.467336111111111
1983,12.353094890873017
1984,11.920382291666668
1985,12.015834871031744
1986,12.22454816468254
1987,12.183318484383001
1988,12.201615706535527
1989,11.986787922427036
1990,11.716385151049666
1991,11.770302272145415
1992,12.121065161908293
1993,11.945253840245776
1994,12.0322094406042
1995,11.437962551203276
1996,11.8503268508219
1997,11.689949039938556
1998,11.78025734126984
1999,11.712602649769586
2000,11.518993366085775
2001,11.621887621607783
2002,11.385819636456732
2003,11.419147747055812
2004,11.251585820664937
2005,10.927786392729134
2006,10.793885554275471
2007,10.499132930107526
2008,10.990294255963414
2009,10.955518477982592
2010,10.734207398873528
2011,10.507405126728111
2012,10.419334828822148
2013,10.920494015616997
2014,10.81246966205837
2015,10.588599270353305
2016,10.163334739216412
2017,13.25918941372248
